[Mon Dec 20 14:07:40.208995 2021] [mpm_event:notice] [pid 32:tid 139924433033088] AH00489: Apache/2.4.10 (Debian) mod_fcgid/2.3.9 configured -- resuming normal operations
[Mon Dec 20 14:07:40.209603 2021] [core:notice] [pid 32:tid 139924433033088] AH00094: Command line: '/usr/sbin/apache2 -D FOREGROUND'
[Mon Dec 20 14:15:21.184852 2021] [fcgid:warn] [pid 35:tid 139924095284992] [client 172.17.0.1:34640] mod_fcgid: stderr: [Mon Dec 20 14:15:21 2021] webui.fcgi: Use of uninitialized value in numeric lt (<) at /usr/lib/x86_64-linux-gnu/perl5/5.20/OpenXPKI/Client/UI/Handle/Status.pm line 116., referer: http://127.0.0.1:8001/openxpki/
[Mon Dec 20 14:16:02.886173 2021] [fcgid:warn] [pid 35:tid 139924263139072] [client 172.17.0.1:34652] mod_fcgid: stderr: [Mon Dec 20 14:16:02 2021] webui.fcgi: param(): attempt to read/write deleted session at /usr/lib/x86_64-linux-gnu/perl5/5.20/Class/MOP/Method/Wrapped.pm line 157., referer: http://127.0.0.1:8001/openxpki/
[Mon Dec 20 14:16:02.962779 2021] [fcgid:warn] [pid 35:tid 139924263139072] [client 172.17.0.1:34652] mod_fcgid: stderr: [Mon Dec 20 14:16:02 2021] webui.fcgi: param(): attempt to read/write deleted session at /usr/lib/x86_64-linux-gnu/perl5/5.20/OpenXPKI/Client/UI.pm line 653., referer: http://127.0.0.1:8001/openxpki/
[Mon Dec 20 14:16:02.973264 2021] [fcgid:warn] [pid 35:tid 139924263139072] [client 172.17.0.1:34652] mod_fcgid: stderr: [Mon Dec 20 14:16:02 2021] webui.fcgi: param(): attempt to read/write deleted session at /usr/lib/x86_64-linux-gnu/perl5/5.20/OpenXPKI/Client/UI.pm line 202., referer: http://127.0.0.1:8001/openxpki/
[Mon Dec 20 14:16:14.476357 2021] [fcgid:warn] [pid 34:tid 139924254746368] [client 172.17.0.1:34656] mod_fcgid: stderr: [Mon Dec 20 14:16:14 2021] webui.fcgi: param(): attempt to read/write deleted session at /usr/lib/x86_64-linux-gnu/perl5/5.20/Class/MOP/Method/Wrapped.pm line 157., referer: http://127.0.0.1:8001/openxpki/
[Mon Dec 20 14:16:14.553205 2021] [fcgid:warn] [pid 34:tid 139924254746368] [client 172.17.0.1:34656] mod_fcgid: stderr: [Mon Dec 20 14:16:14 2021] webui.fcgi: param(): attempt to read/write deleted session at /usr/lib/x86_64-linux-gnu/perl5/5.20/OpenXPKI/Client/UI.pm line 653., referer: http://127.0.0.1:8001/openxpki/
[Mon Dec 20 14:16:14.561303 2021] [fcgid:warn] [pid 34:tid 139924254746368] [client 172.17.0.1:34656] mod_fcgid: stderr: [Mon Dec 20 14:16:14 2021] webui.fcgi: param(): attempt to read/write deleted session at /usr/lib/x86_64-linux-gnu/perl5/5.20/OpenXPKI/Client/UI.pm line 202., referer: http://127.0.0.1:8001/openxpki/
[Mon Dec 20 14:16:27.721568 2021] [fcgid:warn] [pid 34:tid 139924162426624] [client 172.17.0.1:34660] mod_fcgid: stderr: [Mon Dec 20 14:16:27 2021] webui.fcgi: param(): attempt to read/write deleted session at /usr/lib/x86_64-linux-gnu/perl5/5.20/Class/MOP/Method/Wrapped.pm line 157., referer: http://127.0.0.1:8001/openxpki/
[Mon Dec 20 14:16:27.809829 2021] [fcgid:warn] [pid 34:tid 139924162426624] [client 172.17.0.1:34660] mod_fcgid: stderr: [Mon Dec 20 14:16:27 2021] webui.fcgi: param(): attempt to read/write deleted session at /usr/lib/x86_64-linux-gnu/perl5/5.20/OpenXPKI/Client/UI.pm line 653., referer: http://127.0.0.1:8001/openxpki/
[Mon Dec 20 14:16:27.857474 2021] [fcgid:warn] [pid 34:tid 139924162426624] [client 172.17.0.1:34660] mod_fcgid: stderr: [Mon Dec 20 14:16:27 2021] webui.fcgi: param(): attempt to read/write deleted session at /usr/lib/x86_64-linux-gnu/perl5/5.20/OpenXPKI/Client/UI.pm line 202., referer: http://127.0.0.1:8001/openxpki/
[Mon Dec 20 14:20:17.590702 2021] [fcgid:warn] [pid 35:tid 139924221175552] [client 172.17.0.1:34698] mod_fcgid: stderr: [Mon Dec 20 14:20:17 2021] webui.fcgi: param(): attempt to read/write deleted session at /usr/lib/x86_64-linux-gnu/perl5/5.20/Class/MOP/Method/Wrapped.pm line 157., referer: http://127.0.0.1:8001/openxpki/
